Windows Process Scan Log
Scan Time: 2026-06-17 11:03:16.585399
======================================================================

PID:19660  | powershell.exe            | running      | 72.71     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:19876  | FnHotkeyCapsLKNumLK.exe   | running      | 19.89     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:20224  | mscopilot.exe             | running      | 39.02     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:20284  | WmiApSrv.exe              | running      | 3.14      MB | N/A
PID:21076  | dwm.exe                   | running      | 412.45    MB | N/A
PID:21156  | AMDRSSrcExt.exe           | running      | 71.16     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:21188  | OpenConsole.exe           | running      | 11.38     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:21228  | promecefpluginhost.exe    | running      | 37.13     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:21252  | svchost.exe               | running      | 14.36     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:21484  | Code.exe                  | running      | 145.36    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:21632  | Code.exe                  | running      | 148.75    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:21708  | conhost.exe               | running      | 6.94      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:21748  | MessagingPlugin.exe       | running      | 47.37     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:21952  | msedgewebview2.exe        | running      | 12.80     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:22120  | SearchHost.exe            | running      | 121.32    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:22176  | AutoModeDetect.exe        | running      | 16.91     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:22200  | Code.exe                  | running      | 53.08     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:22468  | PushNotificationsLongRunningTask.exe | running      | 17.55     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:22532  | unsecapp.exe              | running      | 9.78      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:22592  | svchost.exe               | running      | 10.98     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:22688  | SearchFilterHost.exe      | running      | 12.64     MB | N/A
PID:22792  | conhost.exe               | running      | 6.92      MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:22832  | SearchProtocolHost.exe    | running      | 20.94     MB | N/A
PID:23040  | mc-neo-host.exe           | running      | 29.80     MB | N/A
PID:23100  | OpenConsole.exe           | running      | 11.39     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:23116  | svchost.exe               | running      | 55.09     MB | N/A
PID:23192  | python.exe                | running      | 18.58     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:23476  | SearchFilterHost.exe      | running      | 12.19     MB | N/A
PID:23500  | ShellHost.exe             | running      | 46.88     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:23616  | Code.exe                  | running      | 332.25    MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:23644  | svchost.exe               | running      | 10.94     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:23648  | powershell.exe            | running      | 73.18     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:23712  | svchost.exe               | running      | 38.31     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:23884  | AMDRSServ.exe             | running      | 28.08     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:24036  | atieclxx.exe              | running      | 19.88     MB | N/A
PID:24100  | msedgewebview2.exe        | running      | 18.95     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:24276  | wpscloudsvr.exe           | running      | 13.01     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:24296  | chrome.exe                | running      | 19.06     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:24428  | RuntimeBroker.exe         | running      | 48.47     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:24544  | LenovoVantage-(LenovoMachineFixSystemAddin).exe | running      | 26.55     MB | N/A
PID:24624  | mc-wps-secdashboardservice.exe | running      | 3.39      MB | N/A
PID:24720  | uihost.exe                | running      | 35.47     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:24748  | chrome.exe                | running      | 32.21     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:24840  | svchost.exe               | running      | 23.76     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:24900  | msedgewebview2.exe        | running      | 38.20     MB | LAPTOP-8I6CI9I2\BHUKAILASH
PID:25000  | conhost.exe               | running      | 9.33      MB | LAPTOP-8I6CI9I2\BHUKAILASH
