Suspicious Path Analysis Log
Scan Time: 2026-06-17 11:04:46.251736
=================================================================

ALL PROCESS PATHS:
-----------------------------------------------------------------
PID:5476 | mc-fw-host.exe | Trusted | C:\Program Files\McAfee\wps\1.39.160.1\mc-fw-host.exe
PID:5512 | mscopilot.exe | Trusted | C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID:5528 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:5628 | powershell.exe | Trusted | C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
PID:5688 | LenovoVantage-(GenericMessagingAddin).exe | Trusted | C:\Program Files (x86)\Lenovo\VantageService\4.2601.31.0\LenovoVantage-(GenericMessagingAddin).exe
PID:5720 | MsMpEng.exe | Unknown | C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MsMpEng.exe
PID:5960 | splunkd.exe | Trusted | C:\Program Files\Splunk\bin\splunkd.exe
PID:6100 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:6564 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:6624 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:6732 | unsecapp.exe | Trusted | C:\Windows\System32\wbem\unsecapp.exe
PID:6880 | winlogon.exe | Trusted | C:\Windows\System32\winlogon.exe
PID:6884 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:6924 | conhost.exe | Trusted | C:\Windows\System32\conhost.exe
PID:6940 | taskhostw.exe | Trusted | C:\Windows\System32\taskhostw.exe
PID:7076 | wps.exe | Unknown | C:\Users\BHUKAILASH\AppData\Local\Kingsoft\WPS Office\12.1.0.26880\office6\wps.exe
PID:7080 | OpenConsole.exe | Unknown | D:\VS CODE\Microsoft VS Code\6928394f91\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
PID:7116 | OpenConsole.exe | Unknown | D:\VS CODE\Microsoft VS Code\6928394f91\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
PID:7188 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:7208 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:7456 | WmiPrvSE.exe | Trusted | C:\Windows\System32\wbem\WmiPrvSE.exe
PID:7512 | FnHotkeyUtility.exe | Trusted | C:\Windows\System32\DriverStore\FileRepository\lenovofnandfunctionkeys.inf_amd64_5e21bf389d23855a\FnHotkeyUtility.exe
PID:7744 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:7988 | wlanext.exe | Trusted | C:\Windows\System32\wlanext.exe
PID:8036 | ctfmon.exe | Trusted | C:\Windows\System32\ctfmon.exe
PID:8044 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:8056 | AppProvisioningPlugin.exe | Unknown | C:\ProgramData\Lenovo\Udc\Hosts\x64\AppProvisioningPlugin.exe
PID:8108 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:8264 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:8444 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:8468 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:8472 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:8572 | SearchIndexer.exe | Trusted | C:\Windows\System32\SearchIndexer.exe
PID:8656 | msedge.exe | Trusted | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID:8872 | AggregatorHost.exe | Trusted | C:\Windows\System32\AggregatorHost.exe
